"mpg","cyl","disp","hp","drat","wt","qsec","vs","am","gear","carb","id","speed_lim","ticket_amount"
32.4,4,78.7,66,4.08,2.2,19.47,1,1,4,1,"car_type_18",70,0
21.4,4,121,109,4.11,2.78,18.6,1,1,4,2,"car_type_32",70,0
22.8,4,140.8,119,3.92,3.15,22.9,1,0,4,2,"car_type_9",70,0
27.3,4,79,66,4.08,1.935,18.9,1,1,4,1,"car_type_26",70,0
21.4,6,258,110,3.08,3.215,19.44,1,0,3,1,"car_type_4",70,0
21,6,160,110,3.9,2.875,17.02,0,1,4,4,"car_type_2",70,0
16.4,8,275.8,180,3.07,4.07,17.4,0,0,3,3,"car_type_12",70,0
33.9,4,71.1,65,4.22,1.835,19.9,1,1,4,1,"car_type_20",70,0
17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4,"car_type_11",70,0
27.3,4,79,66,4.08,1.935,18.9,1,1,4,1,"car_type_26",70,0
10.4,8,472,205,2.93,5.25,17.98,0,0,3,4,"car_type_15",70,0
32.4,4,78.7,66,4.08,2.2,19.47,1,1,4,1,"car_type_18",70,0
30.4,4,95.1,113,3.77,1.513,16.9,1,1,5,2,"car_type_28",70,0
24.4,4,146.7,62,3.69,3.19,20,1,0,4,2,"car_type_8",70,0
21.5,4,120.1,97,3.7,2.465,20.01,1,0,3,1,"car_type_21",70,0
21,6,160,110,3.9,2.62,16.46,0,1,4,4,"car_type_1",70,0
32.4,4,78.7,66,4.08,2.2,19.47,1,1,4,1,"car_type_18",70,0
21,6,160,110,3.9,2.62,16.46,0,1,4,4,"car_type_1",70,926
32.4,4,78.7,66,4.08,2.2,19.47,1,1,4,1,"car_type_18",70,0
21.4,6,258,128,3.08,3.215,19.44,1,0,3,1,"car_type_4",70,932
33.9,4,71.1,77,4.22,1.835,19.9,1,1,4,1,"car_type_20",70,972
18.1,6,225,115,2.76,3.46,20.22,1,0,3,1,"car_type_6",70,0
26,4,120.3,91,4.43,2.14,16.7,0,1,5,2,"car_type_27",70,0
19.7,6,145,175,3.62,2.77,15.5,0,1,5,6,"car_type_30",70,1161
19.2,8,400,175,3.08,3.845,17.05,0,0,3,2,"car_type_25",70,0
32.4,4,78.7,66,4.08,2.2,19.47,1,1,4,1,"car_type_18",70,0
15.2,8,275.8,180,3.07,3.78,18,0,0,3,3,"car_type_14",70,0
10.4,8,472,205,2.93,5.25,17.98,0,0,3,4,"car_type_15",70,0
19.2,6,167.6,123,3.92,3.44,18.3,1,0,4,4,"car_type_10",70,0
15.2,8,275.8,207,3.07,3.78,18,0,0,3,3,"car_type_14",70,0
15.2,8,275.8,180,3.07,3.78,18,0,0,3,3,"car_type_14",70,0
26,4,120.3,91,4.43,2.14,16.7,0,1,5,2,"car_type_27",70,0
30.4,4,75.7,52,4.93,1.615,18.52,1,1,4,2,"car_type_19",70,0
32.4,4,78.7,78,4.08,2.2,19.47,1,1,4,1,"car_type_18",70,0
19.7,6,145,175,3.62,2.77,15.5,0,1,5,6,"car_type_30",70,1019
15.5,8,318,150,2.76,3.52,16.87,0,0,3,2,"car_type_22",70,0
13.3,8,350,245,3.73,3.84,15.41,0,0,3,4,"car_type_24",70,981
30.4,4,75.7,52,4.93,1.615,18.52,1,1,4,2,"car_type_19",70,0
15.2,8,304,150,3.15,3.435,17.3,0,0,3,2,"car_type_23",70,0
21.4,6,258,110,3.08,3.215,19.44,1,0,3,1,"car_type_4",70,0
15.8,8,351,264,4.22,3.17,14.5,0,1,5,4,"car_type_29",70,0
27.3,4,79,66,4.08,1.935,18.9,1,1,4,1,"car_type_26",70,0
14.7,8,440,230,3.23,5.345,17.42,0,0,3,4,"car_type_17",70,0
30.4,4,95.1,113,3.77,1.513,16.9,1,1,5,2,"car_type_28",70,880
21.5,4,120.1,110,3.7,2.465,20.01,1,0,3,1,"car_type_21",70,866
32.4,4,78.7,66,4.08,2.2,19.47,1,1,4,1,"car_type_18",70,0
33.9,4,71.1,65,4.22,1.835,19.9,1,1,4,1,"car_type_20",70,0
26,4,120.3,91,4.43,2.14,16.7,0,1,5,2,"car_type_27",70,0
26,4,120.3,91,4.43,2.14,16.7,0,1,5,2,"car_type_27",70,0
24.4,4,146.7,62,3.69,3.19,20,1,0,4,2,"car_type_8",70,0
21,6,160,110,3.9,2.875,17.02,0,1,4,4,"car_type_2",70,0
19.7,6,145,175,3.62,2.77,15.5,0,1,5,6,"car_type_30",70,0
21,6,160,110,3.9,2.875,17.02,0,1,4,4,"car_type_2",70,0
19.7,6,145,175,3.62,2.77,15.5,0,1,5,6,"car_type_30",70,0
18.1,6,225,125,2.76,3.46,20.22,1,0,3,1,"car_type_6",70,979
19.2,6,167.6,123,3.92,3.44,18.3,1,0,4,4,"car_type_10",70,0
16.4,8,275.8,180,3.07,4.07,17.4,0,0,3,3,"car_type_12",70,0
19.2,8,400,175,3.08,3.845,17.05,0,0,3,2,"car_type_25",70,0
24.4,4,146.7,62,3.69,3.19,20,1,0,4,2,"car_type_8",70,0
19.2,6,167.6,123,3.92,3.44,18.3,1,0,4,4,"car_type_10",70,0
19.2,6,167.6,123,3.92,3.44,18.3,1,0,4,4,"car_type_10",70,0
21.5,4,120.1,97,3.7,2.465,20.01,1,0,3,1,"car_type_21",70,0
17.3,8,275.8,180,3.07,3.73,17.6,0,0,3,3,"car_type_13",70,0
15.8,8,351,264,4.22,3.17,14.5,0,1,5,4,"car_type_29",70,914
32.4,4,78.7,66,4.08,2.2,19.47,1,1,4,1,"car_type_18",70,0
21.5,4,120.1,97,3.7,2.465,20.01,1,0,3,1,"car_type_21",70,0
15.8,8,351,264,4.22,3.17,14.5,0,1,5,4,"car_type_29",70,1174
21,6,160,110,3.9,2.875,17.02,0,1,4,4,"car_type_2",70,0
14.7,8,440,230,3.23,5.345,17.42,0,0,3,4,"car_type_17",70,0
22.8,4,108,93,3.85,2.32,18.61,1,1,4,1,"car_type_3",70,0
30.4,4,75.7,52,4.93,1.615,18.52,1,1,4,2,"car_type_19",70,0
17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4,"car_type_11",70,0
15,8,301,335,3.54,3.57,14.6,0,1,5,8,"car_type_31",70,1065
19.2,8,400,175,3.08,3.845,17.05,0,0,3,2,"car_type_25",70,0
22.8,4,140.8,95,3.92,3.15,22.9,1,0,4,2,"car_type_9",70,0
33.9,4,71.1,65,4.22,1.835,19.9,1,1,4,1,"car_type_20",70,0
15.2,8,275.8,180,3.07,3.78,18,0,0,3,3,"car_type_14",70,0
27.3,4,79,82,4.08,1.935,18.9,1,1,4,1,"car_type_26",70,1082
21,6,160,110,3.9,2.875,17.02,0,1,4,4,"car_type_2",70,0
32.4,4,78.7,66,4.08,2.2,19.47,1,1,4,1,"car_type_18",70,0
21.5,4,120.1,115,3.7,2.465,20.01,1,0,3,1,"car_type_21",70,967
19.2,6,167.6,123,3.92,3.44,18.3,1,0,4,4,"car_type_10",70,0
21,6,160,110,3.9,2.62,16.46,0,1,4,4,"car_type_1",70,0
10.4,8,460,215,3,5.424,17.82,0,0,3,4,"car_type_16",70,0
27.3,4,79,66,4.08,1.935,18.9,1,1,4,1,"car_type_26",70,0
32.4,4,78.7,66,4.08,2.2,19.47,1,1,4,1,"car_type_18",70,0
15.2,8,275.8,180,3.07,3.78,18,0,0,3,3,"car_type_14",70,0
27.3,4,79,66,4.08,1.935,18.9,1,1,4,1,"car_type_26",70,0
18.7,8,360,175,3.15,3.44,17.02,0,0,3,2,"car_type_5",70,0
21.4,6,258,110,3.08,3.215,19.44,1,0,3,1,"car_type_4",70,0
15.5,8,318,150,2.76,3.52,16.87,0,0,3,2,"car_type_22",70,0
33.9,4,71.1,65,4.22,1.835,19.9,1,1,4,1,"car_type_20",70,0
21,6,160,110,3.9,2.62,16.46,0,1,4,4,"car_type_1",70,0
32.4,4,78.7,66,4.08,2.2,19.47,1,1,4,1,"car_type_18",70,0
15.2,8,275.8,180,3.07,3.78,18,0,0,3,3,"car_type_14",70,0
22.8,4,108,93,3.85,2.32,18.61,1,1,4,1,"car_type_3",70,0
13.3,8,350,245,3.73,3.84,15.41,0,0,3,4,"car_type_24",70,0
15,8,301,335,3.54,3.57,14.6,0,1,5,8,"car_type_31",70,1064
10.4,8,460,215,3,5.424,17.82,0,0,3,4,"car_type_16",70,0
17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4,"car_type_11",70,0
21.4,4,121,109,4.11,2.78,18.6,1,1,4,2,"car_type_32",70,0
14.3,8,360,245,3.21,3.57,15.84,0,0,3,4,"car_type_7",70,860
17.3,8,275.8,180,3.07,3.73,17.6,0,0,3,3,"car_type_13",70,0
19.2,8,400,175,3.08,3.845,17.05,0,0,3,2,"car_type_25",70,0
17.3,8,275.8,180,3.07,3.73,17.6,0,0,3,3,"car_type_13",70,0
14.7,8,440,259,3.23,5.345,17.42,0,0,3,4,"car_type_17",70,849
30.4,4,95.1,137,3.77,1.513,16.9,1,1,5,2,"car_type_28",70,1025
15.5,8,318,166,2.76,3.52,16.87,0,0,3,2,"car_type_22",70,815
17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4,"car_type_11",70,0
32.4,4,78.7,66,4.08,2.2,19.47,1,1,4,1,"car_type_18",70,0
21,6,160,110,3.9,2.62,16.46,0,1,4,4,"car_type_1",70,914
21.4,4,121,132,4.11,2.78,18.6,1,1,4,2,"car_type_32",70,1029
18.1,6,225,105,2.76,3.46,20.22,1,0,3,1,"car_type_6",70,0
26,4,120.3,91,4.43,2.14,16.7,0,1,5,2,"car_type_27",70,0
26,4,120.3,91,4.43,2.14,16.7,0,1,5,2,"car_type_27",70,0
30.4,4,95.1,132,3.77,1.513,16.9,1,1,5,2,"car_type_28",70,0
21.5,4,120.1,97,3.7,2.465,20.01,1,0,3,1,"car_type_21",70,0
