"fips","pop","state","mpg","cyl","disp","hp","drat","qsec","vs","am","gear","carb","wt_lbs","id","mod_flag","speed_lim","ticket_amount"
"05",297,"Arkansas",32.4,4,78.7,66,4.08,19.47,1,1,4,1,2200,"car_type_18",FALSE,70,0
"05",297,"Arkansas",30.4,4,95.1,135,3.77,16.9,1,1,5,2,1441,"car_type_28",TRUE,70,994
"05",297,"Arkansas",14.7,8,440,230,3.23,17.42,0,0,3,4,5345,"car_type_17",FALSE,70,0
"05",297,"Arkansas",22.8,4,140.8,95,3.92,22.9,1,0,4,2,3150,"car_type_9",FALSE,70,0
"05",297,"Arkansas",30.4,4,75.7,65,4.93,18.52,1,1,4,2,1373,"car_type_19",TRUE,70,1090
"05",297,"Arkansas",15,8,301,335,3.54,14.6,0,1,5,8,3570,"car_type_31",FALSE,70,799
"05",297,"Arkansas",21.4,4,121,109,4.11,18.6,1,1,4,2,2780,"car_type_32",FALSE,70,0
"05",297,"Arkansas",32.4,4,78.7,66,4.08,19.47,1,1,4,1,2200,"car_type_18",FALSE,70,0
"05",297,"Arkansas",30.4,4,95.1,113,3.77,16.9,1,1,5,2,1513,"car_type_28",FALSE,70,0
"05",297,"Arkansas",30.4,4,75.7,52,4.93,18.52,1,1,4,2,1615,"car_type_19",FALSE,70,0
"05",297,"Arkansas",30.4,4,75.7,64,4.93,18.52,1,1,4,2,1495,"car_type_19",TRUE,70,1047
"05",297,"Arkansas",27.3,4,79,66,4.08,18.9,1,1,4,1,1935,"car_type_26",FALSE,70,0
"05",297,"Arkansas",16.4,8,275.8,180,3.07,17.4,0,0,3,3,4070,"car_type_12",FALSE,70,0
"05",297,"Arkansas",33.9,4,71.1,81,4.22,19.9,1,1,4,1,1734,"car_type_20",TRUE,70,1099
"05",297,"Arkansas",14.3,8,360,245,3.21,15.84,0,0,3,4,3570,"car_type_7",FALSE,70,0
"05",297,"Arkansas",33.9,4,71.1,65,4.22,19.9,1,1,4,1,1835,"car_type_20",FALSE,70,0
"05",297,"Arkansas",19.7,6,145,175,3.62,15.5,0,1,5,6,2770,"car_type_30",FALSE,70,896
"05",297,"Arkansas",18.7,8,360,175,3.15,17.02,0,0,3,2,3440,"car_type_5",FALSE,70,0
"05",297,"Arkansas",15.2,8,304,150,3.15,17.3,0,0,3,2,3435,"car_type_23",FALSE,70,0
"05",297,"Arkansas",18.1,6,225,105,2.76,20.22,1,0,3,1,3460,"car_type_6",FALSE,70,0
"05",297,"Arkansas",15.5,8,318,150,2.76,16.87,0,0,3,2,3520,"car_type_22",FALSE,70,0
"05",297,"Arkansas",19.7,6,145,175,3.62,15.5,0,1,5,6,2770,"car_type_30",FALSE,70,0
"05",297,"Arkansas",14.7,8,440,230,3.23,17.42,0,0,3,4,5345,"car_type_17",FALSE,70,0
"05",297,"Arkansas",15.8,8,351,264,4.22,14.5,0,1,5,4,3170,"car_type_29",FALSE,70,0
"05",297,"Arkansas",18.1,6,225,105,2.76,20.22,1,0,3,1,3460,"car_type_6",FALSE,70,0
"05",297,"Arkansas",19.7,6,145,175,3.62,15.5,0,1,5,6,2770,"car_type_30",FALSE,70,0
"05",297,"Arkansas",33.9,4,71.1,82,4.22,19.9,1,1,4,1,1742,"car_type_20",TRUE,70,0
"05",297,"Arkansas",15.5,8,318,150,2.76,16.87,0,0,3,2,3520,"car_type_22",FALSE,70,0
"05",297,"Arkansas",21,6,160,110,3.9,17.02,0,1,4,4,2875,"car_type_2",FALSE,70,0
"05",297,"Arkansas",19.2,6,167.6,123,3.92,18.3,1,0,4,4,3440,"car_type_10",FALSE,70,0
"05",297,"Arkansas",10.4,8,472,255,2.93,17.98,0,0,3,4,4799,"car_type_15",TRUE,70,0
"05",297,"Arkansas",21,6,160,129,3.9,17.02,0,1,4,4,2570,"car_type_2",TRUE,70,945
"05",297,"Arkansas",21.4,4,121,109,4.11,18.6,1,1,4,2,2780,"car_type_32",FALSE,70,0
"05",297,"Arkansas",33.9,4,71.1,65,4.22,19.9,1,1,4,1,1835,"car_type_20",FALSE,70,0
"05",297,"Arkansas",21.4,6,258,110,3.08,19.44,1,0,3,1,3215,"car_type_4",FALSE,70,0
"05",297,"Arkansas",19.7,6,145,175,3.62,15.5,0,1,5,6,2770,"car_type_30",FALSE,70,0
"05",297,"Arkansas",22.8,4,140.8,95,3.92,22.9,1,0,4,2,3150,"car_type_9",FALSE,70,0
"05",297,"Arkansas",17.3,8,275.8,180,3.07,17.6,0,0,3,3,3730,"car_type_13",FALSE,70,0
"05",297,"Arkansas",13.3,8,350,245,3.73,15.41,0,0,3,4,3840,"car_type_24",FALSE,70,980
"05",297,"Arkansas",19.7,6,145,175,3.62,15.5,0,1,5,6,2770,"car_type_30",FALSE,70,0
"05",297,"Arkansas",19.7,6,145,175,3.62,15.5,0,1,5,6,2770,"car_type_30",FALSE,70,0
"05",297,"Arkansas",21.5,4,120.1,97,3.7,20.01,1,0,3,1,2465,"car_type_21",FALSE,70,0
"05",297,"Arkansas",15,8,301,417,3.54,14.6,0,1,5,8,2927,"car_type_31",TRUE,70,1088
"05",297,"Arkansas",19.2,6,167.6,123,3.92,18.3,1,0,4,4,3440,"car_type_10",FALSE,70,0
"05",297,"Arkansas",18.7,8,360,175,3.15,17.02,0,0,3,2,3440,"car_type_5",FALSE,70,0
"05",297,"Arkansas",27.3,4,79,66,4.08,18.9,1,1,4,1,1935,"car_type_26",FALSE,70,0
"05",297,"Arkansas",30.4,4,95.1,113,3.77,16.9,1,1,5,2,1513,"car_type_28",FALSE,70,1088
"05",297,"Arkansas",30.4,4,95.1,113,3.77,16.9,1,1,5,2,1513,"car_type_28",FALSE,70,988
"05",297,"Arkansas",15.8,8,351,264,4.22,14.5,0,1,5,4,3170,"car_type_29",FALSE,70,1041
"05",297,"Arkansas",22.8,4,108,93,3.85,18.61,1,1,4,1,2320,"car_type_3",FALSE,70,0
"05",297,"Arkansas",22.8,4,140.8,95,3.92,22.9,1,0,4,2,3150,"car_type_9",FALSE,70,0
"05",297,"Arkansas",21,6,160,110,3.9,17.02,0,1,4,4,2875,"car_type_2",FALSE,70,0
"05",297,"Arkansas",32.4,4,78.7,66,4.08,19.47,1,1,4,1,2200,"car_type_18",FALSE,70,0
"05",297,"Arkansas",15.2,8,304,150,3.15,17.3,0,0,3,2,3435,"car_type_23",FALSE,70,1031
"05",297,"Arkansas",21.4,6,258,132,3.08,19.44,1,0,3,1,2804,"car_type_4",TRUE,70,0
"05",297,"Arkansas",19.7,6,145,210,3.62,15.5,0,1,5,6,2397,"car_type_30",TRUE,70,995
"05",297,"Arkansas",21,6,160,110,3.9,17.02,0,1,4,4,2875,"car_type_2",FALSE,70,0
"05",297,"Arkansas",22.8,4,140.8,95,3.92,22.9,1,0,4,2,3150,"car_type_9",FALSE,70,0
"05",297,"Arkansas",14.7,8,440,230,3.23,17.42,0,0,3,4,5345,"car_type_17",FALSE,70,0
"05",297,"Arkansas",17.8,6,167.6,123,3.92,18.9,1,0,4,4,3440,"car_type_11",FALSE,70,0
"05",297,"Arkansas",19.7,6,145,175,3.62,15.5,0,1,5,6,2770,"car_type_30",FALSE,70,1048
"05",297,"Arkansas",21,6,160,110,3.9,17.02,0,1,4,4,2875,"car_type_2",FALSE,70,0
"05",297,"Arkansas",18.1,6,225,105,2.76,20.22,1,0,3,1,3460,"car_type_6",FALSE,70,0
"05",297,"Arkansas",10.4,8,472,205,2.93,17.98,0,0,3,4,5250,"car_type_15",FALSE,70,0
"05",297,"Arkansas",21,6,160,110,3.9,16.46,0,1,4,4,2620,"car_type_1",FALSE,70,0
"05",297,"Arkansas",19.2,8,400,175,3.08,17.05,0,0,3,2,3845,"car_type_25",FALSE,70,0
"05",297,"Arkansas",33.9,4,71.1,74,4.22,19.9,1,1,4,1,1658,"car_type_20",TRUE,70,0
"05",297,"Arkansas",33.9,4,71.1,65,4.22,19.9,1,1,4,1,1835,"car_type_20",FALSE,70,0
"05",297,"Arkansas",19.2,6,167.6,123,3.92,18.3,1,0,4,4,3440,"car_type_10",FALSE,70,0
"05",297,"Arkansas",14.3,8,360,245,3.21,15.84,0,0,3,4,3570,"car_type_7",FALSE,70,0
"05",297,"Arkansas",26,4,120.3,91,4.43,16.7,0,1,5,2,2140,"car_type_27",FALSE,70,0
"05",297,"Arkansas",33.9,4,71.1,65,4.22,19.9,1,1,4,1,1835,"car_type_20",FALSE,70,0
"05",297,"Arkansas",19.2,8,400,175,3.08,17.05,0,0,3,2,3845,"car_type_25",FALSE,70,0
"05",297,"Arkansas",22.8,4,108,115,3.85,18.61,1,1,4,1,2203,"car_type_3",TRUE,70,0
"05",297,"Arkansas",19.7,6,145,175,3.62,15.5,0,1,5,6,2770,"car_type_30",FALSE,70,824
"05",297,"Arkansas",21.4,6,258,110,3.08,19.44,1,0,3,1,3215,"car_type_4",FALSE,70,0
"05",297,"Arkansas",33.9,4,71.1,65,4.22,19.9,1,1,4,1,1835,"car_type_20",FALSE,70,0
"05",297,"Arkansas",18.7,8,360,199,3.15,17.02,0,0,3,2,3359,"car_type_5",TRUE,70,872
"05",297,"Arkansas",26,4,120.3,91,4.43,16.7,0,1,5,2,2140,"car_type_27",FALSE,70,0
"05",297,"Arkansas",33.9,4,71.1,84,4.22,19.9,1,1,4,1,1696,"car_type_20",TRUE,70,0
"05",297,"Arkansas",21,6,160,110,3.9,16.46,0,1,4,4,2620,"car_type_1",FALSE,70,0
"05",297,"Arkansas",27.3,4,79,66,4.08,18.9,1,1,4,1,1935,"car_type_26",FALSE,70,0
"05",297,"Arkansas",18.7,8,360,198,3.15,17.02,0,0,3,2,3173,"car_type_5",TRUE,70,0
"05",297,"Arkansas",22.8,4,108,93,3.85,18.61,1,1,4,1,2320,"car_type_3",FALSE,70,0
"05",297,"Arkansas",26,4,120.3,91,4.43,16.7,0,1,5,2,2140,"car_type_27",FALSE,70,0
"05",297,"Arkansas",15.8,8,351,264,4.22,14.5,0,1,5,4,3170,"car_type_29",FALSE,70,1001
"05",297,"Arkansas",21.4,6,258,110,3.08,19.44,1,0,3,1,3215,"car_type_4",FALSE,70,0
"05",297,"Arkansas",17.3,8,275.8,180,3.07,17.6,0,0,3,3,3730,"car_type_13",FALSE,70,0
"05",297,"Arkansas",14.3,8,360,245,3.21,15.84,0,0,3,4,3570,"car_type_7",FALSE,70,0
"05",297,"Arkansas",19.2,8,400,175,3.08,17.05,0,0,3,2,3845,"car_type_25",FALSE,70,0
"05",297,"Arkansas",19.2,6,167.6,123,3.92,18.3,1,0,4,4,3440,"car_type_10",FALSE,70,0
"05",297,"Arkansas",17.3,8,275.8,180,3.07,17.6,0,0,3,3,3730,"car_type_13",FALSE,70,0
"05",297,"Arkansas",30.4,4,75.7,52,4.93,18.52,1,1,4,2,1615,"car_type_19",FALSE,70,0
"05",297,"Arkansas",30.4,4,75.7,52,4.93,18.52,1,1,4,2,1615,"car_type_19",FALSE,70,0
"05",297,"Arkansas",13.3,8,350,303,3.73,15.41,0,0,3,4,3189,"car_type_24",TRUE,70,1078
"05",297,"Arkansas",24.4,4,146.7,62,3.69,20,1,0,4,2,3190,"car_type_8",FALSE,70,0
"05",297,"Arkansas",18.1,6,225,132,2.76,20.22,1,0,3,1,3133,"car_type_6",TRUE,70,0
"05",297,"Arkansas",22.8,4,108,93,3.85,18.61,1,1,4,1,2320,"car_type_3",FALSE,70,0
"05",297,"Arkansas",15,8,301,335,3.54,14.6,0,1,5,8,3570,"car_type_31",FALSE,70,0
"05",297,"Arkansas",19.2,6,167.6,123,3.92,18.3,1,0,4,4,3440,"car_type_10",FALSE,70,0
"05",297,"Arkansas",17.3,8,275.8,180,3.07,17.6,0,0,3,3,3730,"car_type_13",FALSE,70,0
"05",297,"Arkansas",21,6,160,126,3.9,16.46,0,1,4,4,2264,"car_type_1",TRUE,70,888
"05",297,"Arkansas",21.4,6,258,110,3.08,19.44,1,0,3,1,3215,"car_type_4",FALSE,70,0
"05",297,"Arkansas",13.3,8,350,245,3.73,15.41,0,0,3,4,3840,"car_type_24",FALSE,70,0
"05",297,"Arkansas",14.7,8,440,230,3.23,17.42,0,0,3,4,5345,"car_type_17",FALSE,70,0
"05",297,"Arkansas",27.3,4,79,66,4.08,18.9,1,1,4,1,1935,"car_type_26",FALSE,70,0
"05",297,"Arkansas",18.1,6,225,105,2.76,20.22,1,0,3,1,3460,"car_type_6",FALSE,70,0
"05",297,"Arkansas",33.9,4,71.1,65,4.22,19.9,1,1,4,1,1835,"car_type_20",FALSE,70,0
"05",297,"Arkansas",16.4,8,275.8,180,3.07,17.4,0,0,3,3,4070,"car_type_12",FALSE,70,0
"05",297,"Arkansas",18.7,8,360,175,3.15,17.02,0,0,3,2,3440,"car_type_5",FALSE,70,840
"05",297,"Arkansas",26,4,120.3,91,4.43,16.7,0,1,5,2,2140,"car_type_27",FALSE,70,0
"05",297,"Arkansas",15.8,8,351,264,4.22,14.5,0,1,5,4,3170,"car_type_29",FALSE,70,939
"05",297,"Arkansas",32.4,4,78.7,66,4.08,19.47,1,1,4,1,2200,"car_type_18",FALSE,70,0
"05",297,"Arkansas",27.3,4,79,66,4.08,18.9,1,1,4,1,1935,"car_type_26",FALSE,70,0
"05",297,"Arkansas",24.4,4,146.7,62,3.69,20,1,0,4,2,3190,"car_type_8",FALSE,70,0
"05",297,"Arkansas",10.4,8,472,205,2.93,17.98,0,0,3,4,5250,"car_type_15",FALSE,70,0
"05",297,"Arkansas",18.1,6,225,105,2.76,20.22,1,0,3,1,3460,"car_type_6",FALSE,70,0
"05",297,"Arkansas",15.2,8,275.8,198,3.07,18,0,0,3,3,3628,"car_type_14",TRUE,70,800
"05",297,"Arkansas",17.8,6,167.6,123,3.92,18.9,1,0,4,4,3440,"car_type_11",FALSE,70,0
"05",297,"Arkansas",17.8,6,167.6,123,3.92,18.9,1,0,4,4,3440,"car_type_11",FALSE,70,0
"05",297,"Arkansas",18.1,6,225,105,2.76,20.22,1,0,3,1,3460,"car_type_6",FALSE,70,0
"05",297,"Arkansas",15,8,301,335,3.54,14.6,0,1,5,8,3570,"car_type_31",FALSE,70,1125
"05",297,"Arkansas",30.4,4,95.1,113,3.77,16.9,1,1,5,2,1513,"car_type_28",FALSE,70,1110
"05",297,"Arkansas",19.2,6,167.6,123,3.92,18.3,1,0,4,4,3440,"car_type_10",FALSE,70,0
"05",297,"Arkansas",32.4,4,78.7,79,4.08,19.47,1,1,4,1,2112,"car_type_18",TRUE,70,994
"05",297,"Arkansas",30.4,4,75.7,52,4.93,18.52,1,1,4,2,1615,"car_type_19",FALSE,70,0
"05",297,"Arkansas",19.2,6,167.6,123,3.92,18.3,1,0,4,4,3440,"car_type_10",FALSE,70,0
"05",297,"Arkansas",30.4,4,95.1,113,3.77,16.9,1,1,5,2,1513,"car_type_28",FALSE,70,0
